meter_id,total_energy_kwh,average_power_kw,peak_power_kw,average_power_factor
M02,103378.2707014138,47.860310509913795,202.68834584925872,0.9202348785633311
M04,103337.28334444528,47.84133488168763,174.88301873642715,0.9195612705574824
M07,103184.9071149065,47.77079033097523,182.8945658701696,0.9200221621858898
M03,103111.80649122642,47.73694744964186,176.56300673397075,0.9197310653094721
M06,103088.53228577104,47.726172354523634,167.81923223934828,0.9201165986584265
M01,103074.35389717847,47.71960828573077,188.60692120135127,0.919338760764578
M08,103035.522136408,47.70163061870741,180.63307710380505,0.9197592626551099
M05,103029.11586352866,47.698664751633636,161.1611121674991,0.9197403006238921
M09,102930.11396069755,47.652830537359975,190.0082708024272,0.9201874105311382
M10,102818.70484370447,47.60125224245577,180.44035479125236,0.9191140007160593
