hour,power_kw
17,75.44795394350218
19,75.39448297619097
18,75.30047094153034
21,75.20694814613485
20,75.15130380324335
10,55.542188476219955
14,55.492986151124974
12,55.312984290000365
15,55.23798703419516
16,55.1848086339154
13,55.181868260408834
11,55.094674228107884
6,45.39573912622835
7,45.30429321920046
9,45.246110766134514
8,45.14384357211816
22,40.31158020868428
23,40.26843364849764
5,20.139443266726815
0,20.117503457011168
3,20.055659799495906
1,20.044600978649154
2,20.016518968647514
4,19.950516814343118
